Volt;Corrente;Ora;Data;Coordinate
2.47;11.36;9:5:0;29/8/22;45.6043536,13.7328641
2.32;9.90;9:6:55;29/8/22;45.6043536,13.7328641
2.68;8.59;9:8:54;29/8/22;45.6043536,13.7328641
2.54;10.20;9:10:54;29/8/22;45.6043536,13.7328641
2.33;8.68;9:12:48;29/8/22;45.6043536,13.7328641
2.36;9.83;9:14:39;29/8/22;45.6043536,13.7328641
2.74;11.20;9:16:35;29/8/22;45.6043536,13.7328641
2.81;8.36;9:18:36;29/8/22;45.6043536,13.7328641
2.79;8.30;9:20:35;29/8/22;45.6043536,13.7328641
2.94;9.46;9:22:28;29/8/22;45.6043536,13.7328641
2.84;8.68;9:24:26;29/8/22;45.6043536,13.7328641
2.69;8.75;9:26:27;29/8/22;45.6043536,13.7328641
2.94;9.94;9:28:23;29/8/22;45.6043536,13.7328641
3.20;12.55;9:30:15;29/8/22;45.6043536,13.7328641
3.11;14.35;9:32:13;29/8/22;45.6043536,13.7328641
3.26;14.29;9:34:4;29/8/22;45.6043536,13.7328641
3.26;13.26;9:35:55;29/8/22;45.6043536,13.7328641
3.74;15.94;9:37:53;29/8/22;45.6043536,13.7328641
3.29;16.63;9:39:52;29/8/22;45.6043536,13.7328641
3.46;13.79;9:41:44;29/8/22;45.6043536,13.7328641
3.51;15.83;9:43:35;29/8/22;45.6043536,13.7328641
3.72;16.55;9:45:29;29/8/22;45.6043536,13.7328641
3.74;13.50;9:47:25;29/8/22;45.6043536,13.7328641
3.13;16.26;9:49:25;29/8/22;45.6043536,13.7328641
3.13;13.51;9:51:26;29/8/22;45.6043536,13.7328641
3.14;14.87;9:53:17;29/8/22;45.6043536,13.7328641
3.92;15.98;9:55:11;29/8/22;45.6043536,13.7328641
3.84;14.87;9:57:9;29/8/22;45.6043536,13.7328641
3.15;12.52;9:59:1;29/8/22;45.6043536,13.7328641
3.60;13.26;10:1:2;29/8/22;45.6043536,13.7328641
3.44;16.99;10:2:55;29/8/22;45.6043536,13.7328641
4.13;16.22;10:4:50;29/8/22;45.6043536,13.7328641
3.48;16.48;10:6:49;29/8/22;45.6043536,13.7328641
3.70;16.27;10:8:42;29/8/22;45.6043536,13.7328641
3.53;16.96;10:10:42;29/8/22;45.6043536,13.7328641
3.84;14.73;10:12:39;29/8/22;45.6043536,13.7328641
3.82;13.67;10:14:34;29/8/22;45.6043536,13.7328641
3.96;14.74;10:16:31;29/8/22;45.6043536,13.7328641
3.98;16.32;10:18:23;29/8/22;45.6043536,13.7328641
3.95;15.66;10:20:18;29/8/22;45.6043536,13.7328641
3.94;12.39;10:22:17;29/8/22;45.6043536,13.7328641
3.93;14.22;10:24:13;29/8/22;45.6043536,13.7328641
3.98;15.30;10:26:5;29/8/22;45.6043536,13.7328641
3.91;12.58;10:28:6;29/8/22;45.6043536,13.7328641
3.93;16.12;10:30:3;29/8/22;45.6043536,13.7328641
3.93;12.73;10:32:0;29/8/22;45.6043536,13.7328641
3.94;16.23;10:34:0;29/8/22;45.6043536,13.7328641
3.93;12.67;10:35:59;29/8/22;45.6043536,13.7328641
3.94;12.88;10:37:56;29/8/22;45.6043536,13.7328641
3.91;16.39;10:39:50;29/8/22;45.6043536,13.7328641
3.91;14.49;10:41:46;29/8/22;45.6043536,13.7328641
3.95;15.91;10:43:40;29/8/22;45.6043536,13.7328641
3.90;16.53;10:45:37;29/8/22;45.6043536,13.7328641
3.90;14.83;10:47:30;29/8/22;45.6043536,13.7328641
3.94;14.56;10:49:24;29/8/22;45.6043536,13.7328641
4.90;20.80;10:51:21;29/8/22;45.6043536,13.7328641
4.99;17.46;10:53:19;29/8/22;45.6043536,13.7328641
4.94;16.43;10:55:15;29/8/22;45.6043536,13.7328641
4.96;18.12;10:57:8;29/8/22;45.6043536,13.7328641
4.93;20.10;10:59:7;29/8/22;45.6043536,13.7328641
4.97;16.36;11:0:59;29/8/22;45.6043536,13.7328641
4.99;16.11;11:2:58;29/8/22;45.6043536,13.7328641
4.95;19.50;11:4:52;29/8/22;45.6043536,13.7328641
