Volt;Corrente;Ora;Data;Coordinate
3.47;13.19;9:41:40;30/8/22;45.6043538,13.7328639
3.32;15.15;9:43:41;30/8/22;45.6043538,13.7328639
3.68;12.14;9:45:32;30/8/22;45.6043538,13.7328639
3.54;12.36;9:47:24;30/8/22;45.6043538,13.7328639
3.33;16.80;9:49:24;30/8/22;45.6043538,13.7328639
3.36;16.90;9:51:20;30/8/22;45.6043538,13.7328639
3.74;13.25;9:53:21;30/8/22;45.6043538,13.7328639
3.81;12.99;9:55:14;30/8/22;45.6043538,13.7328639
3.79;12.31;9:57:15;30/8/22;45.6043538,13.7328639
3.94;12.23;9:59:14;30/8/22;45.6043538,13.7328639
3.84;13.26;10:1:13;30/8/22;45.6043538,13.7328639
3.69;14.48;10:3:4;30/8/22;45.6043538,13.7328639
3.94;13.55;10:4:58;30/8/22;45.6043538,13.7328639
4.20;16.31;10:6:49;30/8/22;45.6043538,13.7328639
4.11;16.76;10:8:42;30/8/22;45.6043538,13.7328639
4.26;21.96;10:10:34;30/8/22;45.6043538,13.7328639
4.26;17.81;10:12:29;30/8/22;45.6043538,13.7328639
4.74;17.74;10:14:24;30/8/22;45.6043538,13.7328639
4.29;19.86;10:16:24;30/8/22;45.6043538,13.7328639
4.46;17.93;10:18:17;30/8/22;45.6043538,13.7328639
4.51;20.76;10:20:16;30/8/22;45.6043538,13.7328639
4.72;17.54;10:22:17;30/8/22;45.6043538,13.7328639
4.74;17.73;10:24:16;30/8/22;45.6043538,13.7328639
4.13;21.79;10:26:14;30/8/22;45.6043538,13.7328639
4.13;18.69;10:28:12;30/8/22;45.6043538,13.7328639
4.14;17.56;10:30:4;30/8/22;45.6043538,13.7328639
3.92;15.29;10:32:2;30/8/22;45.6043538,13.7328639
3.84;12.24;10:33:53;30/8/22;45.6043538,13.7328639
4.15;17.22;10:35:47;30/8/22;45.6043538,13.7328639
4.60;16.45;10:37:48;30/8/22;45.6043538,13.7328639
4.44;16.72;10:39:42;30/8/22;45.6043538,13.7328639
4.54;19.24;10:41:33;30/8/22;45.6043538,13.7328639
4.48;21.38;10:43:31;30/8/22;45.6043538,13.7328639
4.70;20.81;10:45:27;30/8/22;45.6043538,13.7328639
